neo_alpha,neo_beta,modern_alpha,modern_beta,tech_alpha,tech_beta,brutal_alpha,brutal_beta,bio_alpha,bio_beta,park_alpha,park_beta
9.93756781038587e-07,5.836752022569251e-07,1.5591556389837918e-06,8.436819710689909e-07,1.5229510223818468e-06,8.625498722056523e-07,1.5229510223818468e-06,8.625498722056523e-07,1.2631250455801866e-06,6.083754603031157e-07,1.1237277933000005e-06,7.218876780033714e-07
8.458563956422922e-07,3.3862339408197895e-07,8.019939384739121e-07,3.153415479420343e-07,9.584677770137557e-07,2.8331501849220074e-07,7.98584515880934e-07,4.1769882586855363e-07,8.458563956422922e-07,3.3862339408197895e-07,1.026499270778392e-06,4.134530062126596e-07
7.090611735111042e-07,3.0959868939406485e-07,8.78551241242718e-07,3.586424708285915e-07,9.145077546072317e-07,4.0328469511622984e-07,7.454006591717789e-07,3.9472422261549124e-07,5.723053370138769e-07,4.484720160216644e-07,7.454006591717789e-07,3.9472422261549124e-07
5.611779311421973e-07,4.3919182413700276e-07,6.044514101760252e-07,5.303867140625778e-07,5.992186414311159e-07,4.051958833513401e-07,6.992863817420278e-07,3.900051972307637e-07,5.303016349061288e-07,5.135834745621059e-07,6.881500250748881e-07,4.5006348171822165e-07
1.0852129438303352e-06,7.823880983228996e-07,1.2106532189973968e-06,4.3707016546438544e-07,8.712587102775173e-07,5.207602912869704e-07,1.2106532189973968e-06,4.3707016546438544e-07,1.0640374992838927e-06,6.072299562771679e-07,1.0852129438303352e-06,7.823880983228996e-07
6.078770383311026e-07,1.0180291852955448e-06,5.806086124405525e-07,1.3132330534003195e-06,7.406063183785115e-07,8.739528351035219e-07,7.406063183785115e-07,8.739528351035219e-07,7.516396203640099e-07,1.5425293700188104e-06,7.392717191324663e-07,1.01345715395201e-06
1.617090722281184e-06,1.2928209955752717e-06,5.434891030371245e-07,5.425675034717255e-07,6.47630044100371e-07,9.021890269279262e-07,6.642504879966755e-07,4.868799127414308e-07,6.089359985409675e-07,3.890325880796579e-07,5.424396572964011e-07,5.304308126901047e-07
1.3880710955388658e-06,4.0153889158328725e-07,1.1225226015374369e-06,4.5020456054549125e-07,1.278002331951889e-06,4.313736856853661e-07,1.278002331951889e-06,4.313736856853661e-07,1.0898149799183372e-06,5.128087653955067e-07,1.4480769774901004e-06,4.98993592840082e-07
6.27158968193341e-07,4.256506519357288e-07,7.988172151800798e-07,3.704702279628672e-07,5.950111781163936e-07,3.658387022678883e-07,6.348681689208962e-07,5.396801358158279e-07,8.131319561702291e-07,4.501321681164441e-07,6.348681689208962e-07,5.396801358158279e-07
1.1765464926595479e-06,4.7576789418164575e-07,8.392349110779489e-07,2.9131917810662787e-07,1.5608363886575286e-06,3.915058734660988e-07,8.982395131454566e-07,3.5225788438763267e-07,8.409160322363842e-07,4.564367763180362e-07,9.964130127328606e-07,2.82055834576871e-07
2.2646155318114898e-06,3.6233428406328937e-07,1.4020899892867845e-06,3.721529722637797e-07,1.4193365276869706e-06,3.5666680279558895e-07,1.904618510577725e-06,3.9717119848848597e-07,1.5826792444861842e-06,3.6924569110435185e-07,8.660242509935654e-07,5.245452112765375e-07
1.6358756406199305e-06,5.290914570845268e-07,8.651862132635236e-07,4.415903365038807e-07,7.177468803258243e-07,4.1760894142605605e-07,8.812619928165547e-07,3.81319804473642e-07,1.1017756098667522e-06,3.736299227682257e-07,6.537892184297387e-07,5.17099154758634e-07
9.648268496647777e-07,3.8545931253707506e-07,6.306246958771786e-07,4.919243749813958e-07,9.611425790207768e-07,4.949690687313533e-07,7.866930404007247e-07,4.929635330423554e-07,7.453602382677354e-07,6.456788581401489e-07,8.735376551697021e-07,5.029738914009123e-07
4.6024117895970483e-07,4.1111362492809336e-07,3.5257688234465015e-07,1.8792717905140114e-07,4.977382425002768e-07,2.6152157365144215e-07,3.7314641777504764e-07,1.8945963554780268e-07,2.860114544634777e-07,1.9452207226732322e-07,3.940722997598404e-07,1.856490750134654e-07
1.0084176184910243e-06,5.517256202871486e-07,1.1313624354968927e-06,6.140057548694402e-07,1.0492612543683589e-06,7.700590488731352e-07,1.1313624354968927e-06,6.140057548694402e-07,1.0084176184910243e-06,5.517256202871486e-07,1.3458643931047265e-06,7.527670903791088e-07
8.140060270964259e-07,4.0333021323287374e-07,8.03704048743642e-07,4.501661421393811e-07,8.478607079381038e-07,3.754987034739949e-07,8.536050617811632e-07,5.743390388255172e-07,7.836809169186111e-07,6.130900329309765e-07,7.945311173919913e-07,5.770949721065346e-07
1.7403373972652515e-06,3.0913455714970564e-07,1.2741661200106336e-06,3.6213346326138456e-07,1.6349225975513796e-06,4.0730588110427394e-07,1.4503104240457957e-06,3.880488429931404e-07,1.8174801612019832e-06,4.617331104146033e-07,1.1853224810787925e-06,3.8407191311242465e-07
8.339120106065399e-07,4.5346938220015206e-07,8.325545223173837e-07,3.476079355057566e-07,8.895189138673388e-07,3.6167033355015804e-07,8.895189138673388e-07,3.6167033355015804e-07,1.083489370049886e-06,6.250843311370575e-07,8.210562278766057e-07,3.9119719353944235e-07
7.836309269289465e-07,4.2600674239028713e-07,9.768655331705312e-07,6.486715906590314e-07,7.128144975935868e-07,3.7437223431370483e-07,7.451257247370376e-07,4.6815822962975006e-07,6.951999025498882e-07,4.5222278178567127e-07,6.558062673338561e-07,4.403330363094689e-07
